Index,MlDomainName,MlIntentName,Utterance
1,Rider_Intents,Add_Note,add a note
2,Rider_Intents,Add_Note,add a note to the appointment
3,Rider_Intents,Add_Note,add note to job
4,Rider_Intents,Add_Note,Add note
5,Rider_Intents,Add_Note,notate work order
6,Rider_Intents,Add_Note,add customer note
7,Rider_Intents,Add_Note,make note
8,Rider_Intents,Arrive,arrived at appointment
9,Rider_Intents,Arrive,onsite
10,Rider_Intents,Arrive,starting to work
11,Rider_Intents,Arrive,arrived at customer site
12,Rider_Intents,Arrive,arrived onsite
13,Rider_Intents,Arrive,at job
14,Rider_Intents,Arrive,starting work
15,Rider_Intents,Arrive,starting job
16,Rider_Intents,Arrive,here at customer
17,Rider_Intents,Arrive,here onsite
18,Rider_Intents,Arrive,Arrived
19,Rider_Intents,Arrive,work starting
20,Rider_Intents,Arrive,at customer site
21,Rider_Intents,Arrive,job in progress
22,Rider_Intents,Arrive,Arrive
23,Rider_Intents,Arrive,I'm here
24,Rider_Intents,Arrive,starting appointment
25,Rider_Intents,Arrive,job starting
26,Rider_Intents,Arrive,beginning work
27,Rider_Intents,Arrive,beginning
28,Rider_Intents,Arrive,beginning job
29,Rider_Intents,Cancel_Appointment,remove appointment
30,Rider_Intents,Cancel_Appointment,cancel that
31,Rider_Intents,Cancel_Appointment,i have to cancel
32,Rider_Intents,Cancel_Appointment,cancel appointment
33,Rider_Intents,Cancel_Appointment,cancel my appointment
34,Rider_Intents,Cancel_Appointment,i cant make it
35,Rider_Intents,Cancel_Appointment,how do I cancel?
36,Rider_Intents,Cancel_Appointment,lets cancel my appointment
37,Rider_Intents,Cancel_Appointment,"Sorry, but I need to cancel."
38,Rider_Intents,Cancel_Appointment,I'm going to need to cancel my repair appointment
39,Rider_Intents,Cancel_Appointment,I'd better cancel that visit. I won't be home after all
40,Rider_Intents,Cancel_Appointment,cancel
41,Rider_Intents,Cancel_Appointment,"sorry, i cant make that appointment"
42,Rider_Intents,Cancel_Appointment,I need to cancel
43,Rider_Intents,Cancel_Appointment,I wanna cancel my scheduled home visit
44,Rider_Intents,Cancel_Appointment,Where do I go to cancel my install?
45,Rider_Intents,Cancel_Appointment,I need to cancel my appointment for now. Something else came up.
46,Rider_Intents,Cancel_Appointment,Let's cancel the installation for now. I'm not quite ready yet
47,Rider_Intents,Cancel_Appointment,I need to cancel my appointment
48,Rider_Intents,Cancel_Appointment,cancel this
49,Rider_Intents,Cancel_Appointment,How can I cancel?
50,Rider_Intents,Complete,finish job
51,Rider_Intents,Complete,close job
52,Rider_Intents,Complete,close work
53,Rider_Intents,Complete,job all set here
54,Rider_Intents,Complete,work all set
55,Rider_Intents,Complete,Complete
56,Rider_Intents,Complete,I'm done
57,Rider_Intents,Complete,job completed
58,Rider_Intents,Complete,complete job
59,Rider_Intents,Complete,appointment finished
60,Rider_Intents,Complete,completed my work
61,Rider_Intents,Complete,job done
62,Rider_Intents,Complete,done
63,Rider_Intents,Complete,appointment completed
64,Rider_Intents,Complete,work done
65,Rider_Intents,Complete,complete appointment
66,Rider_Intents,Complete,job finished
67,Rider_Intents,Complete,Completed
68,Rider_Intents,Complete,finished
69,Rider_Intents,Complete,completed appointment
70,Rider_Intents,Complete,appointment done
71,Rider_Intents,Confirm_Appointment,Accept
72,Rider_Intents,Confirm_Appointment,Accepted
73,Rider_Intents,Confirm_Appointment,Confirm
74,Rider_Intents,Confirm_Appointment,dispatch
75,Rider_Intents,Confirm_Appointment,dispatch that
76,Rider_Intents,Confirm_Appointment,confirm that appointment
77,Rider_Intents,Confirm_Appointment,confirm my appointment
78,Rider_Intents,Confirm_Appointment,that time works for me
79,Rider_Intents,Confirm_Appointment,lets go with that time
80,Rider_Intents,Confirm_Appointment,confirm the appointment
81,Rider_Intents,Confirm_Appointment,that time is good
82,Rider_Intents,Confirm_Appointment,confirm that
83,Rider_Intents,Confirm_Appointment,customer confirmed
84,Rider_Intents,Confirm_Appointment,Confirmed
85,Rider_Intents,Confirm_Appointment,that works
86,Rider_Intents,Confirm_Appointment,confirm appointment
87,Rider_Intents,Confirm_Appointment,dispatched
88,Rider_Intents,Confirm_Appointment,appointment time works
89,Rider_Intents,Confirm_Appointment,appointment is dispatched
90,Rider_Intents,Confirm_Appointment,That sounds good
91,Rider_Intents,Confirm_Appointment,i can make that work
92,Rider_Intents,Confirm_Appointment,that sounds good to me
93,Rider_Intents,Confirm_Appointment,appointment confirmed
94,Rider_Intents,Get_Appointment_Status,What's my appointment status?
95,Rider_Intents,Get_Appointment_Status,What's my appointment ETA?
96,Rider_Intents,Get_Appointment_Status,What's your ETA?
97,Rider_Intents,Get_Appointment_Status,Status of my appointment
98,Rider_Intents,Get_Appointment_Status,What time is my appointment?
99,Rider_Intents,Get_Appointment_Status,When will my tech arrive?
100,Rider_Intents,Get_Appointment_Status,Where is my tech?
101,Rider_Intents,Get_Appointment_Status,What time will they get here?
102,Rider_Intents,Get_Appointment_Status,How far away is your technician?
103,Rider_Intents,Get_Appointment_Status,What's the ETA for the driver?
104,Rider_Intents,Get_Appointment_Status,How far away is the driver right now?
105,Rider_Intents,Get_Appointment_Status,status of appointment
106,Rider_Intents,Get_Appointment_Status,what's the ETA?
107,Rider_Intents,Get_Appointment_Status,latest eta?
108,Rider_Intents,Get_Appointment_Status,current ETA
109,Rider_Intents,Get_Appointment_Status,are you guys coming?
110,Rider_Intents,Get_Appointment_Status,my appointment status
